latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.25706,53.12414,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,6.07,346.12,D,0.77,0.78
29.82825,51.24834,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,10.65,354.9,D,0.6,0.71
29.82855,51.25468,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,10.65,345.31,D,0.6,0.71
29.82859,51.24864,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,h,15.51,367,D,0.6,0.71
29.82892,51.25492,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,14.77,350.08,D,0.6,0.71
29.83474,51.24726,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,10.65,350.88,D,0.6,0.71
29.83502,51.25315,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,h,10.65,367,D,0.6,0.71
29.83508,51.24759,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,15.51,345.69,D,0.6,0.71
29.8354,51.2535,2026-09-04,1041,2026-09-04,14:11,2026,9,4,N20,VIIRS,VIIRS,n,14.77,353.98,D,0.6,0.71
28.68224,52.09523,2026-09-04,1019,2026-09-04,13:49,2026,9,4,N,VIIRS,VIIRS,n,6.75,343.52,D,0.53,0.5
29.25772,53.12044,2026-09-04,1019,2026-09-04,13:49,2026,9,4,N,VIIRS,VIIRS,n,12.57,345.9,D,0.62,0.54
29.26511,51.81939,2026-09-04,1019,2026-09-04,13:49,2026,9,4,N,VIIRS,VIIRS,l,7.45,344.2,D,0.52,0.5
29.82961,51.24917,2026-09-04,1019,2026-09-04,13:49,2026,9,4,N,VIIRS,VIIRS,n,16.02,355.68,D,0.49,0.48
29.8301,51.25421,2026-09-04,1019,2026-09-04,13:49,2026,9,4,N,VIIRS,VIIRS,l,14.79,349.77,D,0.49,0.48
29.19319,52.84366,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,l,10.98,349.6,D,0.42,0.38
29.82608,51.25381,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,l,9.43,367,D,0.39,0.36
29.82939,51.25314,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,l,7.33,367,D,0.39,0.36
29.82996,51.25712,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,l,7.33,349.43,D,0.39,0.36
29.83269,51.25248,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,l,7.33,354.06,D,0.39,0.36
30.19686,51.70935,2026-09-04,943,2026-09-04,13:13,2026,9,4,N21,VIIRS,VIIRS,n,11.81,351.5,D,0.4,0.37
28.55543,53.95183,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,l,8.34,345.34,D,0.62,0.54
28.68225,52.09347,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,n,3.16,343.4,D,0.4,0.6
29.25427,53.1236,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,h,9.11,367,D,0.34,0.56
29.82569,51.25352,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,h,17.67,367,D,0.42,0.61
29.82656,51.25245,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,n,9.24,356.38,D,0.42,0.61
29.82765,51.25689,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,n,9.24,345.09,D,0.42,0.61
30.19415,51.70732,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,n,7.97,344.38,D,0.39,0.59
30.19517,51.71148,2026-09-04,900,2026-09-04,12:30,2026,9,4,N20,VIIRS,VIIRS,n,6.05,341.23,D,0.39,0.59
28.55258,53.94807,2026-09-04,839,2026-09-04,12:09,2026,9,4,N,VIIRS,VIIRS,n,8.82,340.34,D,0.72,0.76
29.25583,53.12279,2026-09-04,839,2026-09-04,12:09,2026,9,4,N,VIIRS,VIIRS,n,9.81,350.26,D,0.77,0.78
