latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
30.62778,52.39487,2026-08-19,1648,2026-08-19,20:18,2026,8,19,Terra,MODIS,MODIS,86,12.35,313.57,N,1.07,1.03
29.25796,53.12517,2026-08-19,1041,2026-08-19,14:11,2026,8,19,N20,VIIRS,VIIRS,n,16.9,354.89,D,0.77,0.77
29.19247,52.84353,2026-08-19,1019,2026-08-19,13:49,2026,8,19,N,VIIRS,VIIRS,n,18.31,350.38,D,0.6,0.53
29.25656,53.12029,2026-08-19,1019,2026-08-19,13:49,2026,8,19,N,VIIRS,VIIRS,l,5.8,347.29,D,0.62,0.54
30.10488,51.50794,2026-08-19,1019,2026-08-19,13:49,2026,8,19,N,VIIRS,VIIRS,n,8.18,349.16,D,0.51,0.49
29.36801,52.61145,2026-08-19,943,2026-08-19,13:13,2026,8,19,N21,VIIRS,VIIRS,l,9.35,348.4,D,0.42,0.37
30.01766,52.68645,2026-08-19,900,2026-08-19,12:30,2026,8,19,N20,VIIRS,VIIRS,n,11.55,355.42,D,0.34,0.56
29.2572,53.12123,2026-08-19,858,2026-08-19,12:28,2026,8,19,N20,VIIRS,VIIRS,h,6.73,367,D,0.34,0.56
29.2578,53.11574,2026-08-19,839,2026-08-19,12:09,2026,8,19,N,VIIRS,VIIRS,l,19.67,343.43,D,0.77,0.77
29.19228,52.84659,2026-08-19,548,2026-08-19,09:18,2026,8,19,Terra,MODIS,MODIS,50,15.12,323.05,D,1.6,1.25
29.85046,51.59049,2026-08-19,548,2026-08-19,09:18,2026,8,19,Terra,MODIS,MODIS,48,11.74,324.65,D,1.31,1.13
29.85268,51.5774,2026-08-19,548,2026-08-19,09:18,2026,8,19,Terra,MODIS,MODIS,31,9.41,323.36,D,1.3,1.13
30.11054,51.51992,2026-08-19,548,2026-08-19,09:18,2026,8,19,Terra,MODIS,MODIS,27,11.03,324.94,D,1.28,1.12
30.23399,52.00316,2026-08-19,548,2026-08-19,09:18,2026,8,19,Terra,MODIS,MODIS,20,9.33,318.99,D,1.36,1.15
28.68459,52.09376,2026-08-18,2322,2026-08-19,02:52,2026,8,19,N20,VIIRS,VIIRS,n,4.15,314.35,N,0.76,0.77
28.68559,52.09473,2026-08-18,2322,2026-08-19,02:52,2026,8,19,N20,VIIRS,VIIRS,n,1.52,315.83,N,0.76,0.77
29.37118,52.61008,2026-08-18,2322,2026-08-19,02:52,2026,8,19,N20,VIIRS,VIIRS,n,2.31,305.31,N,0.78,0.78
27.47754,52.97304,2026-08-18,2303,2026-08-19,02:33,2026,8,19,N,VIIRS,VIIRS,n,1.52,310.51,N,0.37,0.58
27.48074,52.97294,2026-08-18,2303,2026-08-19,02:33,2026,8,19,N,VIIRS,VIIRS,n,1.7,308.01,N,0.37,0.58
27.48367,52.9709,2026-08-18,2303,2026-08-19,02:33,2026,8,19,N,VIIRS,VIIRS,n,2.67,322.41,N,0.37,0.58
27.4869,52.97079,2026-08-18,2303,2026-08-19,02:33,2026,8,19,N,VIIRS,VIIRS,n,1.7,334.48,N,0.37,0.58
