latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.61516,51.64261,2026-09-03,1119,2026-09-03,14:49,2026,9,3,Aqua,MODIS,MODIS,54,30.98,326.23,D,2.75,1.59
29.84124,51.58938,2026-09-03,1119,2026-09-03,14:49,2026,9,3,Aqua,MODIS,MODIS,31,22.27,322.39,D,2.74,1.58
28.23493,52.96703,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,l,18.13,356.48,D,0.57,0.69
28.23531,52.97371,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,n,16.9,347.25,D,0.57,0.69
29.25701,53.12131,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,n,6.48,354.26,D,0.6,0.71
29.25929,53.12487,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,n,7.11,346.23,D,0.6,0.71
30.19378,51.71199,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,l,7.63,344.95,D,0.5,0.66
30.19424,51.71961,2026-09-03,1041,2026-09-03,14:11,2026,9,3,N,VIIRS,VIIRS,n,7.82,343.46,D,0.5,0.66
29.93042,53.01935,2026-09-03,1004,2026-09-03,13:34,2026,9,3,N21,VIIRS,VIIRS,n,8.81,344.81,D,0.51,0.49
30.19197,51.71487,2026-09-03,1004,2026-09-03,13:34,2026,9,3,N21,VIIRS,VIIRS,h,14.41,367,D,0.43,0.46
30.1961,51.71388,2026-09-03,1004,2026-09-03,13:34,2026,9,3,N21,VIIRS,VIIRS,n,3.6,348.4,D,0.43,0.46
29.48241,51.3858,2026-09-03,917,2026-09-03,12:47,2026,9,3,N20,VIIRS,VIIRS,l,5.11,344.61,D,0.44,0.46
30.19072,51.71117,2026-09-03,917,2026-09-03,12:47,2026,9,3,N20,VIIRS,VIIRS,n,11.6,353.01,D,0.41,0.45
30.72265,51.87086,2026-09-03,917,2026-09-03,12:47,2026,9,3,N20,VIIRS,VIIRS,l,3.66,343.77,D,0.4,0.44
30.19175,51.70822,2026-09-03,900,2026-09-03,12:30,2026,9,3,N,VIIRS,VIIRS,n,2.04,337.48,D,0.48,0.64
30.72235,51.86071,2026-09-03,900,2026-09-03,12:30,2026,9,3,N,VIIRS,VIIRS,n,14.22,355.35,D,0.46,0.63
30.72445,51.8689,2026-09-03,900,2026-09-03,12:30,2026,9,3,N,VIIRS,VIIRS,l,4.12,341.17,D,0.46,0.63
28.56021,53.60553,2026-09-03,858,2026-09-03,12:28,2026,9,3,N,VIIRS,VIIRS,h,8.38,367,D,0.4,0.6
29.25804,53.11984,2026-09-03,858,2026-09-03,12:28,2026,9,3,N,VIIRS,VIIRS,n,8.83,357.99,D,0.42,0.61
29.41827,52.39244,2026-09-03,858,2026-09-03,12:28,2026,9,3,N,VIIRS,VIIRS,n,3.17,336.26,D,0.46,0.63
